id,origin,destination,airline,flightNumber,duration,price,departureTime
1,VIE,FRA,Austrian,OS101,80,120.00,06:30
2,VIE,MUC,Austrian,OS115,60,110.00,07:00
3,VIE,ZRH,Austrian,OS131,75,115.00,06:45
4,FRA,LHR,Lufthansa,LH900,90,130.00,08:30
5,FRA,CDG,Lufthansa,LH910,75,125.00,09:00
6,FRA,JFK,Lufthansa,LH400,540,650.00,10:30
7,MUC,FRA,Lufthansa,LH201,70,100.00,08:30
8,MUC,LHR,Lufthansa,LH223,95,140.00,09:15
9,ZRH,CDG,Swiss,LX630,85,135.00,08:45
10,ZRH,LHR,Swiss,LX460,100,145.00,09:30
11,CDG,LHR,AirFrance,AF1680,75,90.00,11:00
12,CDG,JFK,AirFrance,AF006,510,680.00,12:30
13,LHR,JFK,BritishAirways,BA117,480,700.00,13:30
14,LHR,ORD,BritishAirways,BA295,500,720.00,14:00
15,JFK,ORD,United,UA810,150,180.00,20:00